course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021,points_r1_2020,points_r2_2020,eos_mid_2020,test/interview_2020,eos_mid_2019,eos_2019
TU788,Accounting and Finance (campus options),231,,462,,,,,,,
TU790,Early Childhood Care and Education (campus options),223,,414,,,,,,,
TU791,Applied Social Studies in Social Care,320,,399,,320,,378,,,
TU792,Community and Youth Development,AQA,242,310,,101,250,288,,,
TU795,Visual Merchandising and Display,618,,900,#,481,,763,#,,
TU796,Creative Digital Media,224,,388,,225,,383,,,
TU801,Sustainable Energy Engineering,235,,329,,235,,381,,,
TU802,Electrical Services and Energy Management,309,,359,,317,300,352,,,
TU804,Engineering (Common Entry with Award options),270,,361,,271,,338,,,
TU805,Engineering (General Entry),466,465,499,,402,,466,,,
TU807,Computer Engineering in Mobile Systems,274,,339,,276,,305,,,
TU810,Mechatronic Engineering,271,,399,,270,,312,,,
TU811,Product Design,440,434,479,,411,,444,,,
TU812,"Design,Technology and Innovation",278,,335,,270,,350,,,
TU814,Sustainable Transport Management,253,253,349,,285,251,372,,,
TU828,Mechanical Engineering (General Entry),300,,386,,,,,,,
TU829,Electronic Engineering (General Entry),248,248,354,,,,,,,
TU831,Architectural Technology,423,,455,,410,,444,,,
TU832,Architecture (Suitability Test and Interview),644,638,682,#,622,,658,#,,
TU833,Construction Management,396,,429,,367,,404,,,
TU834,Geographic Science,315,,370,,288,,357,,,
TU835,Planning and Environmental Management,330,,393,,313,,349,,,
TU836,Property Economics (Valuation Surveying),411,,444,,401,,433,,,
TU837,Quantity Surveying and Construction Economics,413,,455,,385,,418,,,
TU838,Sustainable Timber Technology,307,271,385,,,,,,,
TU851,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",400,,464,,349,,419,,,
TU852,Chemical Sciences with Medicinal Chemistry,477,,499,,476,,498,,,
TU854,Science (General Entry),510,,532,,476,,495,,,
TU855,Science with Nanotechnology,322,,382,,331,319,368,,,
TU856,Computer Science,499,,531,,476,,487,,,
TU857,Computer Science (Infrastructure),403,,443,,391,,419,,,
TU858,Computer Science (International),395,,444,,377,,424,,,
TU859,Computing,251,,336,,217,234,308,,,
TU860,Computing (Information Technology),270,,356,,260,,329,,,
TU861,Computing with Language (French/German/Spanish),235,235,370,,308,308,348,,,
TU862,Computing with Artificial Intelligence Machine Learning,262,,310,,226,226,288,,,
TU863,Digital Forensics and Cyber Security,282,,346,,280,,338,,,
TU864,DNA and Forensic Analysis,500,441,465,,400,390,429,,,
TU865,Cloud Computing,235,,308,,226,,331,,,
TU866,Biomedical and Molecular Diagnostics,522,,540,,487,,498,,,
TU867,Biomedical Science,576,566,578,,524,,542,,,
TU868,Clinical Measurement Science,542,,554,,510,,520,,,
TU869,Environmental Health,387,,434,,336,,375,,,
TU870,Human Nutrition and Dietetics,601,,613,,578,,589,,,
TU871,Optometry,532,,544,,509,,530,,,
TU872,Public Health Nutrition,487,,521,,491,,512,,,
TU874,Mathematical Sciences,294,294,434,,341,,407,,,
TU875,Pharmaceutical Healthcare,451,,477,,400,,440,,,
TU876,Pharmaceutical Science,445,,474,,377,349,391,,,
TU877,Physics Technology,314,314,422,,308,,373,,,
TU878,Physics with Energy and Environment,339,,408,,337,337,444,,,
TU879,Physics with Medical Physics and Bioengineering,346,,430,,351,,403,,,
TU880,Physics with Data Science,412,,532,,578,,,,,
TU881,Food Innovation,309,,423,,318,,389,,,
TU882,Nutraceuticals in Health and Nutrition,380,,447,,397,,442,,,
TU902,Business (options),270,,327,,271,,359,,,
TU903,Business and Management,477,,509,,463,,485,,,
TU904,Business and Law,462,,486,,462,,487,,,
